20200228_121924A.jpg	Haze_lv2(0.66)	A0:0.57463915123723 
20200228_121826A.jpg	Haze_lv2(0.85)	A0:0.577106408606942 
20200228_121729A.jpg	Haze_lv1(0.93)	A0:0.636485384262454 
20200228_121815A.jpg	Haze_lv1(0.89)	A0:0.635228800097752 
20200228_121838A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121935A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121901A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121740A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121803A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121849A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121752A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121912A.jpg	Haze_lv5(0.74)	A0:0.707888464219999 
20200228_121403A_snap.jpg 	Haze_lv5(0.74)	A0:0.707888464219999 
